,true_value
2014-05-22,51.854855
2014-05-23,41.737953
2014-05-24,22.614834
2014-05-25,23.98324
2014-05-26,23.418707
2014-05-27,39.000027
2014-05-28,41.331783
2014-05-29,52.99401
2014-05-30,22.634665
2014-05-31,47.617283
2014-06-01,27.31477
2014-06-02,40.17002
2014-06-03,44.553684
2014-06-04,51.10953
2014-06-05,57.433628
2014-06-06,27.41136
2014-06-07,15.260316
2014-06-08,25.528706
2014-06-09,51.087196
2014-06-10,50.671036
2014-06-11,64.10679
2014-06-12,53.956585
2014-06-13,43.87586
2014-06-14,31.328672
2014-06-15,18.56922
2014-06-16,79.151
2014-06-17,59.353264
2014-06-18,47.245747
2014-06-19,57.090492
2014-06-20,51.29232
2014-06-21,51.7246
2014-06-22,27.065763
2014-06-23,42.154427
2014-06-24,42.883995
2014-06-25,90.25045
2014-06-26,42.118225
2014-06-27,57.427593
2014-06-28,17.096125
2014-06-29,21.061872
2014-06-30,37.880726
2014-07-01,55.951366
2014-07-02,49.850376
2014-07-03,51.92681
2014-07-04,41.76138
2014-07-05,45.725567
2014-07-06,15.403754
2014-07-07,42.69089
2014-07-08,39.064396
2014-07-09,67.42179
2014-07-10,62.214485
2014-07-11,62.652397
2014-07-12,35.83474
2014-07-13,44.520187
2014-07-14,51.089188
2014-07-15,66.32955
2014-07-16,45.91253
2014-07-17,62.099518
2014-07-18,51.817238
2014-07-19,45.181065
2014-07-20,39.784203
2014-07-21,64.54271
2014-07-22,43.484547
2014-07-23,39.78053
2014-07-24,54.735268
2014-07-25,56.718822
2014-07-26,26.728058
2014-07-27,41.476627
2014-07-28,52.396626
2014-07-29,51.938084
2014-07-30,39.223476
2014-07-31,55.17228
2014-08-01,28.728155
2014-08-02,34.44807
2014-08-03,31.065418
2014-08-04,55.98795
2014-08-05,54.559685
2014-08-06,63.729595
2014-08-07,56.217434
2014-08-08,54.25709
2014-08-09,88.54179
2014-08-10,34.857765
2014-08-11,45.0926
2014-08-12,35.754524
2014-08-13,59.701267
2014-08-14,65.11316
2014-08-15,52.239532
2014-08-16,36.55493
2014-08-17,46.42059
2014-08-18,38.35048
2014-08-19,45.280823
2014-08-20,52.5114
2014-08-21,52.408436
2014-08-22,45.243046
2014-08-23,36.13706
2014-08-24,42.50165
2014-08-25,52.92498
2014-08-26,73.79798
2014-08-27,48.191372
2014-08-28,47.46185
2014-08-29,60.236008
2014-08-30,28.958815
2014-08-31,27.521004
2014-09-01,44.039593
2014-09-02,74.67617
2014-09-03,98.13412
2014-09-04,44.387203
2014-09-05,44.25589
2014-09-06,47.022823
2014-09-07,38.334724
2014-09-08,89.83116
2014-09-09,76.57844
2014-09-10,76.002846
2014-09-11,80.283264
2014-09-12,58.741753
2014-09-13,56.059067
2014-09-14,16.443956
2014-09-15,25.907969
2014-09-16,101.46396
2014-09-17,64.013565
2014-09-18,59.783188
2014-09-19,63.232437
2014-09-20,28.064344
2014-09-21,51.572025
2014-09-22,53.010475
2014-09-23,60.21097
2014-09-24,103.35419
2014-09-25,66.3265
2014-09-26,61.576565
2014-09-27,57.865166
2014-09-28,35.450745
2014-09-29,75.90523
2014-09-30,56.856087
2014-10-01,58.316113
2014-10-02,80.335754
2014-10-03,76.807236
2014-10-04,34.484325
2014-10-05,64.1415
2014-10-06,58.76714
2014-10-07,67.15525
2014-10-08,50.470078
2014-10-09,75.4474
2014-10-10,50.32355
2014-10-11,39.373657
2014-10-12,25.537037
2014-10-13,45.983334
2014-10-14,55.0735
